v 0 0
v 1 1
v 2 1
v 3 1
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 3
v 14 3
v 15 2
v 16 3
v 18 2
v 19 2
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 2
v 26 2
v 27 2
v 28 2
v 29 2
v 30 2
v 31 3
v 32 3
v 34 2
v 35 2
v 36 3
v 37 2
v 38 2
v 39 2
v 40 2
v 41 0
v 42 2
v 43 2
v 44 1
v 46 1
v 47 2
e 0 1 1
e 0 2 1
e 0 3 0
e 0 4 0
e 4 5 3
e 4 6 3
e 5 7 3
e 5 8 3
e 6 9 3
e 7 10 3
e 7 11 3
e 8 12 3
e 9 13 0
e 9 10 3
e 10 14 0
e 11 15 3
e 12 15 3
e 13 16 1
e 18 20 0
e 18 21 3
e 19 22 3
e 21 23 3
e 22 23 3
e 23 24 3
e 24 25 3
e 24 26 3
e 25 27 3
e 26 28 3
e 27 29 0
e 27 30 3
e 28 30 3
e 30 31 0
e 31 32 1
e 34 36 0
e 34 37 3
e 35 38 3
e 37 39 3
e 37 40 3
e 38 41 0
e 38 39 3
e 39 42 3
e 40 43 3
e 41 44 1
e 41 46 0
e 42 47 3
e 43 47 3
